Listing...
2ping/jammy,now 4.5-1 all [installed]
libcryptsetup12/jammy,now 2:2.4.3-1ubuntu1 armhf [installed]
libctf-nobfd0/jammy,now 2.38-3ubuntu1 armhf [installed]
libctf0/jammy,now 2.38-3ubuntu1 armhf [installed]
libcups2/jammy,now 2.4.1op1-1ubuntu4 armhf [installed]
libcupsfilters1/jammy,now 1.28.15-0ubuntu1 armhf [installed]
libcupsimage2/jammy,now 2.4.1op1-1ubuntu4 armhf [installed]
libcurl3-gnutls/jammy,now 7.81.0-1 armhf [installed]
libcurl4-openssl-dev/jammy,now 7.81.0-1 armhf [installed]
libcurl4/jammy,now 7.81.0-1 armhf [installed]
libdata-dump-perl/jammy,now 1.25-1 all [installed]
libdata-optlist-perl/jammy,now 0.112-1 all [installed]
libdata-perl-perl/jammy,now 0.002011-1 all [installed]
libdata-section-perl/jammy,now 0.200007-1 all [installed]
libdatrie-dev/jammy,now 0.2.13-2 armhf [installed]
libdatrie1/jammy,now 0.2.13-2 armhf [installed]
libdav1d5/jammy,now 0.9.2-1 armhf [installed]
libdb5.3/jammy,now 5.3.28+dfsg1-0.8ubuntu3 armhf [installed]
libdbus-1-3/jammy,now 1.12.20-2ubuntu4 armhf [installed]
libdbus-glib-1-2/jammy,now 0.112-2build1 armhf [installed]
libdc1394-25/jammy,now 2.2.6-4 armhf [installed]
libdc1394-dev/jammy,now 2.2.6-4 armhf [installed]
libdconf1/jammy,now 0.40.0-3 armhf [installed]
libde265-0/jammy,now 1.0.8-1 armhf [installed]
libdebconfclient0/jammy,now 0.261ubuntu1 armhf [installed]
libdebhelper-perl/jammy,now 13.6ubuntu1 all [installed]
libdebuginfod-common/jammy,now 0.186-1build1 all [installed]
libdebuginfod1/jammy,now 0.186-1build1 armhf [installed]
libdeflate-dev/jammy,now 1.10-2 armhf [installed]
libdeflate0/jammy,now 1.10-2 armhf [installed]
libdevel-callchecker-perl/jammy,now 0.008-1ubuntu4 armhf [installed]
libdevel-caller-perl/jammy,now 2.06-2build4 armhf [installed]
libdevel-globaldestruction-perl/jammy,now 0.14-1.1 all [installed]
libdevel-lexalias-perl/jammy,now 0.05-2build4 armhf [installed]
libdevmapper1.02.1/jammy,now 2:1.02.175-2.1ubuntu4 armhf [installed]
libdns-export1110/jammy,now 1:9.11.19+dfsg-2.1ubuntu3 armhf [installed]
libdouble-conversion3/jammy,now 3.1.7-4 armhf [installed]
libdpkg-perl/jammy,now 1.21.1ubuntu2 all [installed]
libdrm-amdgpu1/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-common/jammy,now 2.4.110-1ubuntu1 all [installed]
libdrm-dev/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-etnaviv1/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-exynos1/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-freedreno1/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-nouveau2/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-omap1/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-radeon1/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm-tegra0/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdrm2/jammy,now 2.4.110-1ubuntu1 armhf [installed]
libdw1/jammy,now 0.186-1build1 armhf [installed]
libdynaloader-functions-perl/jammy,now 0.003-1.1 all [installed]
libedit2/jammy,now 3.1-20210910-1build1 armhf [installed]
libegl-mesa0/jammy,now 22.0.1-1ubuntu2 armhf [installed]
libegl1/jammy,now 1.4.0-1 armhf [installed]
libeigen3-dev/jammy,now 3.4.0-2ubuntu2 all [installed]
libelf1/jammy,now 0.186-1build1 armhf [installed]
libencode-locale-perl/jammy,now 1.05-1.1 all [installed]
libepoxy0/jammy,now 1.5.10-1 armhf [installed]
liberror-perl/jammy,now 0.17029-1 all [installed]
libestr0/jammy,now 0.1.10-2.1build3 armhf [installed]
libevdev2/jammy,now 1.12.1+dfsg-1 armhf [installed]
libevent-2.1-7/jammy,now 2.1.12-stable-1build3 armhf [installed]
libevent-core-2.1-7/jammy,now 2.1.12-stable-1build3 armhf [installed]
libevent-dev/jammy,now 2.1.12-stable-1build3 armhf [installed]
libevent-extra-2.1-7/jammy,now 2.1.12-stable-1build3 armhf [installed]
libevent-openssl-2.1-7/jammy,now 2.1.12-stable-1build3 armhf [installed]
libevent-pthreads-2.1-7/jammy,now 2.1.12-stable-1build3 armhf [installed]
libexif-dev/jammy,now 0.6.24-1build1 armhf [installed]
libexif-doc/jammy,now 0.6.24-1build1 all [installed]
libexif12/jammy,now 0.6.24-1build1 armhf [installed]
libexpat1-dev/jammy,now 2.4.7-1 armhf [installed]
libexpat1/jammy,now 2.4.7-1 armhf [installed]
libexporter-tiny-perl/jammy,now 1.002002-1 all [installed]
libext2fs2/jammy,now 1.46.5-2ubuntu1 armhf [installed]
libfabric1/jammy,now 1.11.0-3 armhf [installed]
libfakechroot/jammy,now 2.20.1+ds-2 armhf [installed]
libfakeroot/jammy,now 1.28-1ubuntu1 armhf [installed]
libfastjson4/jammy,now 0.99.9-1build2 armhf [installed]
libfcgi-bin/jammy,now 2.4.2-2build2 armhf [installed]
libfcgi-perl/jammy,now 0.82+ds-1build1 armhf [installed]
libfcgi0ldbl/jammy,now 2.4.2-2build2 armhf [installed]
libfdisk1/jammy,now 2.37.2-4ubuntu3 armhf [installed]
libffi-dev/jammy,now 3.4.2-4 armhf [installed]
libffi7/jammy,now 3.3-5ubuntu1 armhf [installed]
libffi8/jammy,now 3.4.2-4 armhf [installed]
libfido2-1/jammy,now 1.10.0-1 armhf [installed]
libfile-basedir-perl/jammy,now 0.09-1 all [installed]
libfile-copy-recursive-perl/jammy,now 0.45-1 all [installed]
libfile-desktopentry-perl/jammy,now 0.22-2 all [installed]
libfile-fcntllock-perl/jammy,now 0.22-3build7 armhf [installed]
libfile-homedir-perl/jammy,now 1.006-1 all [installed]
libfile-listing-perl/jammy,now 6.14-1 all [installed]
libfile-mimeinfo-perl/jammy,now 0.31-1 all [installed]
libfile-slurp-perl/jammy,now 9999.32-1 all [installed]
libfile-stripnondeterminism-perl/jammy,now 1.13.0-1 all [installed]
libfile-which-perl/jammy,now 1.23-1 all [installed]
libfl-dev/jammy,now 2.6.4-8build2 armhf [installed]
libfl2/jammy,now 2.6.4-8build2 armhf [installed]
libflac8/jammy,now 1.3.3-2build2 armhf [installed]
libfont-afm-perl/jammy,now 1.20-3 all [installed]
libfontconfig-dev/jammy,now 2.13.1-4.2ubuntu5 armhf [installed]
libfontconfig1-dev/jammy,now 2.13.1-4.2ubuntu5 armhf [installed]
libfontconfig1/jammy,now 2.13.1-4.2ubuntu5 armhf [installed]
libfontenc1/jammy,now 1:1.1.4-1build3 armhf [installed]
libfreetype-dev/jammy,now 2.11.1+dfsg-1build1 armhf [installed]
libfreetype6-dev/jammy,now 2.11.1+dfsg-1build1 armhf [installed]
libfreetype6/jammy,now 2.11.1+dfsg-1build1 armhf [installed]
libfreexl1/jammy,now 1.0.6-1 armhf [installed]
libfribidi-dev/jammy,now 1.0.8-2ubuntu3 armhf [installed]
libfribidi0/jammy,now 1.0.8-2ubuntu3 armhf [installed]
libftdi-dev/jammy,now 0.20-4ubuntu1 armhf [installed]
libftdi1/jammy,now 0.20-4ubuntu1 armhf [installed]
libfuse2/jammy,now 2.9.9-5ubuntu3 armhf [installed]
libfyba0/jammy,now 4.1.1-7 armhf [installed]
libgail-common/jammy,now 2.24.33-2ubuntu2 armhf [installed]
libgail18/jammy,now 2.24.33-2ubuntu2 armhf [installed]
libgbm1/jammy,now 22.0.1-1ubuntu2 armhf [installed]
libgcc-10-dev/jammy,now 10.3.0-15ubuntu1 armhf [installed]
libgcc-11-dev/jammy,now 11.2.0-19ubuntu1 armhf [installed]
libgcc-9-dev/jammy,now 9.4.0-5ubuntu1 armhf [installed]
libgcc-s1/jammy,now 12-20220319-1ubuntu1 armhf [installed]
libgcrypt20/jammy,now 1.9.4-3ubuntu3 armhf [installed]
libgd3/jammy,now 2.3.0-2ubuntu2 armhf [installed]
libgdal30/jammy,now 3.4.1+dfsg-1build4 armhf [installed]
libgdbm-compat4/jammy,now 1.23-1 armhf [installed]
libgdbm-dev/jammy,now 1.23-1 armhf [installed]
libgdbm6/jammy,now 1.23-1 armhf [installed]
libgdcm-dev/jammy,now 3.0.10-1build2 armhf [installed]
libgdcm3.0/jammy,now 3.0.10-1build2 armhf [installed]
libgdk-pixbuf-2.0-0/jammy,now 2.42.8+dfsg-1 armhf [installed]
libgdk-pixbuf-2.0-dev/jammy,now 2.42.8+dfsg-1 armhf [installed]
libgdk-pixbuf-xlib-2.0-0/jammy,now 2.40.2-2build4 armhf [installed]
libgdk-pixbuf-xlib-2.0-dev/jammy,now 2.40.2-2build4 armhf [installed]
libgdk-pixbuf2.0-0/jammy,now 2.40.2-2build4 armhf [installed]
libgdk-pixbuf2.0-bin/jammy,now 2.42.8+dfsg-1 armhf [installed]
libgdk-pixbuf2.0-common/jammy,now 2.42.8+dfsg-1 all [installed]
libgdk-pixbuf2.0-dev/jammy,now 2.40.2-2build4 armhf [installed]
libgeos-c1v5/jammy,now 3.10.2-1 armhf [installed]
libgeos3.10.2/jammy,now 3.10.2-1 armhf [installed]
libgeotiff5/jammy,now 1.7.0-2build1 armhf [installed]
libgetopt-long-descriptive-perl/jammy,now 0.109-2 all [installed]
libgettextpo-dev/jammy,now 0.21-4ubuntu4 armhf [installed]
libgettextpo0/jammy,now 0.21-4ubuntu4 armhf [installed]
libgfapi0/jammy,now 10.1-1 armhf [installed]
libgflags-dev/jammy,now 2.2.2-2 armhf [installed]
libgflags2.2/jammy,now 2.2.2-2 armhf [installed]
libgfortran-10-dev/jammy,now 10.3.0-15ubuntu1 armhf [installed]
libgfortran-11-dev/jammy,now 11.2.0-19ubuntu1 armhf [installed]
libgfortran-9-dev/jammy,now 9.4.0-5ubuntu1 armhf [installed]
libgfortran5/jammy,now 12-20220319-1ubuntu1 armhf [installed]
libgfrpc0/jammy,now 10.1-1 armhf [installed]
libgfxdr0/jammy,now 10.1-1 armhf [installed]
libgif7/jammy,now 5.1.9-2build2 armhf [installed]
libgirepository-1.0-1/jammy,now 1.72.0-1 armhf [installed]
libgit2-1.1/jammy,now 1.1.0+dfsg.1-4.1build1 armhf [installed]
libgl-dev/jammy,now 1.4.0-1 armhf [installed]
libgl1-mesa-dev/jammy,now 22.0.1-1ubuntu2 armhf [installed]
libgl1-mesa-dri/jammy,now 22.0.1-1ubuntu2 armhf [installed]
libgl1/jammy,now 1.4.0-1 armhf [installed]
libgl2ps1.4/jammy,now 1.4.2+dfsg1-2 armhf [installed]
libglapi-mesa/jammy,now 22.0.1-1ubuntu2 armhf [installed]
libglew2.2/jammy,now 2.2.0-4 armhf [installed]
libglib2.0-0/jammy,now 2.72.1-1 armhf [installed]
libglib2.0-bin/jammy,now 2.72.1-1 armhf [installed]
libglib2.0-data/jammy,now 2.72.1-1 all [installed]
libglib2.0-dev-bin/jammy,now 2.72.1-1 armhf [installed]
libglib2.0-dev/jammy,now 2.72.1-1 armhf [installed]
libglibmm-2.4-1v5/jammy,now 2.66.2-2 armhf [installed]
libglibmm-2.4-dev/jammy,now 2.66.2-2 armhf [installed]
libglu1-mesa-dev/jammy,now 9.0.2-1 armhf [installed]
libglusterfs0/jammy,now 10.1-1 armhf [installed]
libglvnd0/jammy,now 1.4.0-1 armhf [installed]
libglx-dev/jammy,now 1.4.0-1 armhf [installed]
libglx-mesa0/jammy,now 22.0.1-1ubuntu2 armhf [installed]
libglx0/jammy,now 1.4.0-1 armhf [installed]
libgme0/jammy,now 0.6.3-2 armhf [installed]
libgmp-dev/jammy,now 2:6.2.1+dfsg-3ubuntu1 armhf [installed]
libgmp10/jammy,now 2:6.2.1+dfsg-3ubuntu1 armhf [installed]
libgmpxx4ldbl/jammy,now 2:6.2.1+dfsg-3ubuntu1 armhf [installed]
libgnutls-openssl27/jammy,now 3.7.3-4ubuntu1 armhf [installed]
libgnutls30/jammy,now 3.7.3-4ubuntu1 armhf [installed]
libgomp1/jammy,now 12-20220319-1ubuntu1 armhf [installed]
libgoogle-glog-dev/jammy,now 0.5.0+really0.4.0-2 armhf [installed]
libgoogle-glog0v5/jammy,now 0.5.0+really0.4.0-2 armhf [installed]
libgpg-error-l10n/jammy,now 1.43-3 all [installed]
libgpg-error0/jammy,now 1.43-3 armhf [installed]
libgpgme11/jammy,now 1.16.0-1.2ubuntu4 armhf [installed]
libgphoto2-6/jammy,now 2.5.27-1build2 armhf [installed]
libgphoto2-dev/jammy,now 2.5.27-1build2 armhf [installed]
libgphoto2-l10n/jammy,now 2.5.27-1build2 all [installed]
libgphoto2-port12/jammy,now 2.5.27-1build2 armhf [installed]
libgpm2/jammy,now 1.20.7-10build1 armhf [installed]
libgraphite2-3/jammy,now 1.3.14-1build2 armhf [installed]
libgraphite2-dev/jammy,now 1.3.14-1build2 armhf [installed]
libgraphviz-dev/jammy,now 2.42.2-6 armhf [installed]
libgs9-common/jammy,now 9.55.0~dfsg1-0ubuntu5 all [installed]
libgs9/jammy,now 9.55.0~dfsg1-0ubuntu5 armhf [installed]
libgsm1/jammy,now 1.0.19-1 armhf [installed]
libgssapi-krb5-2/jammy,now 1.19.2-2 armhf [installed]
libgssapi3-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libgstreamer-plugins-base1.0-0/jammy,now 1.20.1-1 armhf [installed]
libgstreamer1.0-0/jammy,now 1.20.1-1 armhf [installed]
libgtest-dev/jammy,now 1.11.0-3 armhf [installed]
libgtk-3-0/jammy,now 3.24.33-1ubuntu1 armhf [installed]
libgtk-3-bin/jammy,now 3.24.33-1ubuntu1 armhf [installed]
libgtk-3-common/jammy,now 3.24.33-1ubuntu1 all [installed]
libgtk2.0-0/jammy,now 2.24.33-2ubuntu2 armhf [installed]
libgtk2.0-bin/jammy,now 2.24.33-2ubuntu2 armhf [installed]
libgtk2.0-common/jammy,now 2.24.33-2ubuntu2 all [installed]
libgtk2.0-dev/jammy,now 2.24.33-2ubuntu2 armhf [installed]
libgts-0.7-5/jammy,now 0.7.6+darcs121130-5 armhf [installed]
libgts-bin/jammy,now 0.7.6+darcs121130-5 armhf [installed]
libgudev-1.0-0/jammy,now 1:237-2build1 armhf [installed]
libgvc6-plugins-gtk/jammy,now 2.42.2-6 armhf [installed]
libgvc6/jammy,now 2.42.2-6 armhf [installed]
libgvpr2/jammy,now 2.42.2-6 armhf [installed]
libharfbuzz-dev/jammy,now 2.7.4-1ubuntu3 armhf [installed]
libharfbuzz-gobject0/jammy,now 2.7.4-1ubuntu3 armhf [installed]
libharfbuzz-icu0/jammy,now 2.7.4-1ubuntu3 armhf [installed]
libharfbuzz0b/jammy,now 2.7.4-1ubuntu3 armhf [installed]
libhavege2/jammy,now 1.9.14-1ubuntu1 armhf [installed]
libhcrypto4-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libhdb9-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libhdf4-0-alt/jammy,now 4.2.15-4 armhf [installed]
libhdf5-103-1/jammy,now 1.10.7+repack-4ubuntu2 armhf [installed]
libhdf5-hl-100/jammy,now 1.10.7+repack-4ubuntu2 armhf [installed]
libheif1/jammy,now 1.12.0-2build1 armhf [installed]
libheimbase1-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libheimntlm0-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libhiredis0.14/jammy,now 0.14.1-2 armhf [installed]
libhogweed6/jammy,now 3.7.3-1build2 armhf [installed]
libhtml-form-perl/jammy,now 6.07-1 all [installed]
libhtml-format-perl/jammy,now 2.12-1.1 all [installed]
libhtml-parser-perl/jammy,now 3.76-1build2 armhf [installed]
libhtml-tagset-perl/jammy,now 3.20-4 all [installed]
libhtml-tree-perl/jammy,now 5.07-2 all [installed]
libhttp-cookies-perl/jammy,now 6.10-1 all [installed]
libhttp-daemon-perl/jammy,now 6.13-1 all [installed]
libhttp-date-perl/jammy,now 6.05-1 all [installed]
libhttp-message-perl/jammy,now 6.36-1 all [installed]
libhttp-negotiate-perl/jammy,now 6.01-1 all [installed]
libhttp-parser2.9/jammy,now 2.9.4-4 armhf [installed]
libhwloc-dev/jammy,now 2.7.0-2 armhf [installed]
libhwloc-plugins/jammy,now 2.7.0-2 armhf [installed]
libhwloc15/jammy,now 2.7.0-2 armhf [installed]
libhx509-5-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libi2c-dev/jammy,now 4.3-2build1 armhf [installed]
libi2c0/jammy,now 4.3-2build1 armhf [installed]
libibverbs-dev/jammy,now 39.0-1 armhf [installed]
libibverbs1/jammy,now 39.0-1 armhf [installed]
libical3/jammy,now 3.0.14-1build1 armhf [installed]
libice-dev/jammy,now 2:1.0.10-1build2 armhf [installed]
libice6/jammy,now 2:1.0.10-1build2 armhf [installed]
libicu-dev/jammy,now 70.1-2 armhf [installed]
libicu70/jammy,now 70.1-2 armhf [installed]
libid3tag0/jammy,now 0.15.1b-14 armhf [installed]
libidn12/jammy,now 1.38-4build1 armhf [installed]
libidn2-0/jammy,now 2.3.2-2build1 armhf [installed]
libijs-0.35/jammy,now 0.35-15build2 armhf [installed]
libilmbase-dev/jammy,now 2.5.7-2 armhf [installed]
libilmbase25/jammy,now 2.5.7-2 armhf [installed]
libimagequant0/jammy,now 2.17.0-1 armhf [installed]
libimlib2/jammy,now 1.7.4-1build1 armhf [installed]
libimport-into-perl/jammy,now 1.002005-1 all [installed]
libindirect-perl/jammy,now 0.39-1build3 armhf [installed]
libinput-bin/jammy,now 1.20.0-1 armhf [installed]
libinput10/jammy,now 1.20.0-1 armhf [installed]
libintl-perl/jammy,now 1.26-3build2 all [installed]
libintl-xs-perl/jammy,now 1.26-3build2 armhf [installed]
libio-html-perl/jammy,now 1.004-2 all [installed]
libio-socket-inet6-perl/jammy,now 2.73-1 all [installed]
libio-socket-ssl-perl/jammy,now 2.074-2 all [installed]
libio-stringy-perl/jammy,now 2.111-3 all [installed]
libip4tc2/jammy,now 1.8.7-1ubuntu5 armhf [installed]
libipc-system-simple-perl/jammy,now 1.30-1 all [installed]
libirs-export161/jammy,now 1:9.11.19+dfsg-2.1ubuntu3 armhf [installed]
libisc-export1105/jammy,now 1:9.11.19+dfsg-2.1ubuntu3 armhf [installed]
libisccfg-export163/jammy,now 1:9.11.19+dfsg-2.1ubuntu3 armhf [installed]
libisl23/jammy,now 0.24-2build1 armhf [installed]
libiw30/jammy,now 30~pre9-13.1ubuntu4 armhf [installed]
libjack-dev/jammy,now 1:0.125.0-3build2 armhf [installed]
libjack0/jammy,now 1:0.125.0-3build2 armhf [installed]
libjansson4/jammy,now 2.13.1-1.1build3 armhf [installed]
libjbig-dev/jammy,now 2.1-3.1build3 armhf [installed]
libjbig0/jammy,now 2.1-3.1build3 armhf [installed]
libjbig2dec0/jammy,now 0.19-3build2 armhf [installed]
libjemalloc-dev/jammy,now 5.2.1-4ubuntu1 armhf [installed]
libjemalloc2/jammy,now 5.2.1-4ubuntu1 armhf [installed]
libjpeg-dev/jammy,now 8c-2ubuntu10 armhf [installed]
libjpeg-turbo8-dev/jammy,now 2.1.2-0ubuntu1 armhf [installed]
libjpeg-turbo8/jammy,now 2.1.2-0ubuntu1 armhf [installed]
libjpeg8-dev/jammy,now 8c-2ubuntu10 armhf [installed]
libjpeg8/jammy,now 8c-2ubuntu10 armhf [installed]
libjs-highlight.js/jammy,now 9.18.5+dfsg1-1 all [installed]
libjs-inherits/jammy,now 2.0.4-4 all [installed]
libjs-jquery-ui/jammy,now 1.13.1+dfsg-1 all [installed]
libjs-jquery/jammy,now 3.6.0+dfsg+~3.5.13-1 all [installed]
libjs-sphinxdoc/jammy,now 4.3.2-1 all [installed]
libjs-underscore/jammy,now 1.13.2~dfsg-2 all [installed]
libjson-c-dev/jammy,now 0.15-2build4 armhf [installed]
libjson-c5/jammy,now 0.15-2build4 armhf [installed]
libjsoncpp25/jammy,now 1.9.5-3 armhf [installed]
libk5crypto3/jammy,now 1.19.2-2 armhf [installed]
libkdc2-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libkeyutils1/jammy,now 1.6.1-2ubuntu3 armhf [installed]
libkmlbase1/jammy,now 1.3.0-9 armhf [installed]
libkmldom1/jammy,now 1.3.0-9 armhf [installed]
libkmlengine1/jammy,now 1.3.0-9 armhf [installed]
libkmod2/jammy,now 29-1ubuntu1 armhf [installed]
libkpathsea6/jammy,now 2021.20210626.59705-1build1 armhf [installed]
libkrb5-26-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libkrb5-3/jammy,now 1.19.2-2 armhf [installed]
libkrb5support0/jammy,now 1.19.2-2 armhf [installed]
libksba8/jammy,now 1.6.0-2build1 armhf [installed]
liblab-gamut1/jammy,now 2.42.2-6 armhf [installed]
liblapack-dev/jammy,now 3.10.0-2ubuntu1 armhf [installed]
liblapack3/jammy,now 3.10.0-2ubuntu1 armhf [installed]
liblbfgsb0/jammy,now 3.0+dfsg.3-10 armhf [installed]
liblcms2-2/jammy,now 2.12~rc1-2build2 armhf [installed]
liblcms2-dev/jammy,now 2.12~rc1-2build2 armhf [installed]
libldap-2.5-0/jammy,now 2.5.11+dfsg-1~exp1ubuntu3 armhf [installed]
libldap-common/jammy,now 2.5.11+dfsg-1~exp1ubuntu3 all [installed]
libldb2/now 2:2.4.4-0ubuntu0.1 armhf [installed,local]
liblept5/jammy,now 1.82.0-3build1 armhf [installed]
liblexical-sealrequirehints-perl/jammy,now 0.011-4build3 armhf [installed]
liblist-moreutils-perl/jammy,now 0.430-2 all [installed]
liblist-moreutils-xs-perl/jammy,now 0.430-2build2 armhf [installed]
libllvm13/now 1:13.0.1-2ubuntu2.1 armhf [installed,local]
liblocale-gettext-perl/jammy,now 1.07-4build3 armhf [installed]
liblockfile-bin/jammy,now 1.17-1build2 armhf [installed]
liblockfile1/jammy,now 1.17-1build2 armhf [installed]
liblog-message-perl/jammy,now 0.8-1.1 all [installed]
liblog-message-simple-perl/jammy,now 0.10-3 all [installed]
libltdl-dev/jammy,now 2.4.6-15build2 armhf [installed]
libltdl7/jammy,now 2.4.6-15build2 armhf [installed]
liblua5.1-0/jammy,now 5.1.5-8.1build4 armhf [installed]
liblwp-mediatypes-perl/jammy,now 6.04-1 all [installed]
liblwp-protocol-https-perl/jammy,now 6.10-1 all [installed]
liblz4-1/jammy,now 1.9.3-2build2 armhf [installed]
liblzma-dev/jammy,now 5.2.5-2ubuntu1 armhf [installed]
liblzma5/jammy,now 5.2.5-2ubuntu1 armhf [installed]
liblzo2-2/jammy,now 2.10-2build3 armhf [installed]
libmagic-mgc/jammy,now 1:5.41-3 armhf [installed]
libmagic1/jammy,now 1:5.41-3 armhf [installed]
libmail-sendmail-perl/jammy,now 0.80-1.1 all [installed]
libmailtools-perl/jammy,now 2.21-1 all [installed]
libmbedcrypto7/jammy,now 2.28.0-1build1 armhf [installed]
libmbedtls14/jammy,now 2.28.0-1build1 armhf [installed]
libmbedx509-1/jammy,now 2.28.0-1build1 armhf [installed]
libmd-dev/jammy,now 1.0.4-1build1 armhf [installed]
libmd0/jammy,now 1.0.4-1build1 armhf [installed]
libminizip1/jammy,now 1.1-8build1 armhf [installed]
libmnl0/jammy,now 1.0.4-3build2 armhf [installed]
libmodplug1/jammy,now 1:0.8.9.0-3 armhf [installed]
libmodule-build-perl/jammy,now 0.423100-1 all [installed]
libmodule-implementation-perl/jammy,now 0.09-1.1 all [installed]
libmodule-pluggable-perl/jammy,now 5.2-1 all [installed]
libmodule-runtime-perl/jammy,now 0.016-1 all [installed]
libmodule-signature-perl/jammy,now 0.88-1 all [installed]
libmoo-perl/jammy,now 2.005004-3 all [installed]
libmoox-handlesvia-perl/jammy,now 0.001009-1 all [installed]
libmount-dev/jammy,now 2.37.2-4ubuntu3 armhf [installed]
libmount1/jammy,now 2.37.2-4ubuntu3 armhf [installed]
libmp3lame0/jammy,now 3.100-3build2 armhf [installed]
libmpc3/jammy,now 1.2.1-2build1 armhf [installed]
libmpdec3/jammy,now 2.5.1-2build2 armhf [installed]
libmpfr6/jammy,now 4.1.0-3build3 armhf [installed]
libmpg123-0/jammy,now 1.29.3-1build1 armhf [installed]
libmro-compat-perl/jammy,now 0.15-1 all [installed]
libmtdev1/jammy,now 1.1.6-1build4 armhf [installed]
libmultidimensional-perl/jammy,now 0.014-1build4 armhf [installed]
libmysqlclient21/jammy,now 8.0.28-0ubuntu4 armhf [installed]
libnamespace-autoclean-perl/jammy,now 0.29-1 all [installed]
libnamespace-clean-perl/jammy,now 0.27-1 all [installed]
libncurses-dev/jammy,now 6.3-2 armhf [installed]
libncurses5-dev/jammy,now 6.3-2 armhf [installed]
libncurses5/jammy,now 6.3-2 armhf [installed]
libncurses6/jammy,now 6.3-2 armhf [installed]
libncursesw5-dev/jammy,now 6.3-2 armhf [installed]
libncursesw5/jammy,now 6.3-2 armhf [installed]
libncursesw6/jammy,now 6.3-2 armhf [installed]
libnet-dbus-perl/jammy,now 1.2.0-1build3 armhf [installed]
libnet-http-perl/jammy,now 6.22-1 all [installed]
libnet-libidn-perl/jammy,now 0.12.ds-3build6 armhf [installed]
libnet-smtp-ssl-perl/jammy,now 1.04-1 all [installed]
libnet-ssleay-perl/jammy,now 1.92-1build2 armhf [installed]
libnetcdf19/jammy,now 1:4.8.1-1 armhf [installed]
libnetplan0/jammy,now 0.104-0ubuntu2 armhf [installed]
libnettle8/jammy,now 3.7.3-1build2 armhf [installed]
libnewt0.52/jammy,now 0.52.21-5ubuntu2 armhf [installed]
libnghttp2-14/jammy,now 1.43.0-1build3 armhf [installed]
libnl-3-200/jammy,now 3.5.0-0.1 armhf [installed]
libnl-3-dev/jammy,now 3.5.0-0.1 armhf [installed]
libnl-genl-3-200/jammy,now 3.5.0-0.1 armhf [installed]
libnl-route-3-200/jammy,now 3.5.0-0.1 armhf [installed]
libnl-route-3-dev/jammy,now 3.5.0-0.1 armhf [installed]
libnode72/jammy,now 12.22.9~dfsg-1ubuntu3 armhf [installed]
libnorm1/jammy,now 1.5.9+dfsg-2 armhf [installed]
libnpth0/jammy,now 1.6-3build2 armhf [installed]
libnsl-dev/jammy,now 1.3.0-2build2 armhf [installed]
libnsl2/jammy,now 1.3.0-2build2 armhf [installed]
libnspr4/jammy,now 2:4.32-3build1 armhf [installed]
libnss-nis/jammy,now 3.1-0ubuntu6 armhf [installed]
libnss-nisplus/jammy,now 1.3-0ubuntu6 armhf [installed]
libnss-systemd/jammy,now 249.11-0ubuntu3 armhf [installed]
libnss3/jammy,now 2:3.68.2-0ubuntu1 armhf [installed]
libnuma-dev/jammy,now 2.0.14-3ubuntu2 armhf [installed]
libnuma1/jammy,now 2.0.14-3ubuntu2 armhf [installed]
libodbc2/jammy,now 2.3.9-5 armhf [installed]
libodbcinst2/jammy,now 2.3.9-5 armhf [installed]
libogdi4.1/jammy,now 4.1.0+ds-5 armhf [installed]
libogg0/jammy,now 1.3.5-0ubuntu3 armhf [installed]
libopencv-calib3d-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-calib3d4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-contrib-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-contrib4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-core-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-core4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
