Listing...
2ping/jammy,now 4.5-1 all [installed]
fonts-lyx/jammy,now 2.3.6-1 all [installed]
fonts-noto-mono/jammy,now 20201225-1build1 all [installed]
fonts-terminus-otb/jammy,now 4.48-3.1 all [installed]
fonts-texgyre/jammy,now 20180621-3.1 all [installed]
fonts-urw-base35/jammy,now 20200910-1 all [installed]
fswebcam/jammy,now 20140113-2 armhf [installed]
g++-11/jammy,now 11.2.0-19ubuntu1 armhf [installed]
g++-9/jammy,now 9.4.0-5ubuntu1 armhf [installed]
g++/jammy,now 4:11.2.0-1ubuntu1 armhf [installed]
gawk/jammy,now 1:5.1.0-1build3 armhf [installed]
gcc-10-base/jammy,now 10.3.0-15ubuntu1 armhf [installed]
gcc-11-base/jammy,now 11.2.0-19ubuntu1 armhf [installed]
gcc-11/jammy,now 11.2.0-19ubuntu1 armhf [installed]
gcc-12-base/jammy,now 12-20220319-1ubuntu1 armhf [installed]
gcc-9-base/jammy,now 9.4.0-5ubuntu1 armhf [installed]
gcc-9/jammy,now 9.4.0-5ubuntu1 armhf [installed]
gcc/jammy,now 4:11.2.0-1ubuntu1 armhf [installed]
gdal-data/jammy,now 3.4.1+dfsg-1build4 all [installed]
gdb/jammy,now 12.0.90-0ubuntu1 armhf [installed]
gettext-base/jammy,now 0.21-4ubuntu4 armhf [installed]
gettext/jammy,now 0.21-4ubuntu4 armhf [installed]
gfortran-11/jammy,now 11.2.0-19ubuntu1 armhf [installed]
gfortran-9/jammy,now 9.4.0-5ubuntu1 armhf [installed]
gfortran/jammy,now 4:11.2.0-1ubuntu1 armhf [installed]
gir1.2-atk-1.0/jammy,now 2.36.0-3build1 armhf [installed]
gir1.2-freedesktop/jammy,now 1.72.0-1 armhf [installed]
gir1.2-gdkpixbuf-2.0/jammy,now 2.42.8+dfsg-1 armhf [installed]
gir1.2-glib-2.0/jammy,now 1.72.0-1 armhf [installed]
gir1.2-gtk-2.0/jammy,now 2.24.33-2ubuntu2 armhf [installed]
gir1.2-harfbuzz-0.0/jammy,now 2.7.4-1ubuntu3 armhf [installed]
gir1.2-packagekitglib-1.0/jammy,now 1.2.5-2ubuntu2 armhf [installed]
gir1.2-pango-1.0/jammy,now 1.50.6+ds-2 armhf [installed]
git-man/jammy,now 1:2.34.1-1ubuntu1 all [installed]
git/jammy,now 1:2.34.1-1ubuntu1 armhf [installed]
gnupg-l10n/jammy,now 2.2.27-3ubuntu2 all [installed]
gnupg-utils/jammy,now 2.2.27-3ubuntu2 armhf [installed]
gnupg/jammy,now 2.2.27-3ubuntu2 all [installed]
googletest/jammy,now 1.11.0-3 all [installed]
gperf/jammy,now 3.1-1build1 armhf [installed]
gpg-agent/jammy,now 2.2.27-3ubuntu2 armhf [installed]
gpg-wks-client/jammy,now 2.2.27-3ubuntu2 armhf [installed]
gpg-wks-server/jammy,now 2.2.27-3ubuntu2 armhf [installed]
gpg/jammy,now 2.2.27-3ubuntu2 armhf [installed]
gpgconf/jammy,now 2.2.27-3ubuntu2 armhf [installed]
gpgsm/jammy,now 2.2.27-3ubuntu2 armhf [installed]
gpgv/jammy,now 2.2.27-3ubuntu2 armhf [installed]
graphviz/jammy,now 2.42.2-6 armhf [installed]
grep/jammy,now 3.7-1build1 armhf [installed]
groff-base/jammy,now 1.22.4-8build1 armhf [installed]
gsettings-desktop-schemas/jammy,now 42.0-1ubuntu1 all [installed]
gsfonts/jammy,now 1:8.11+urwcyr1.0.7~pre44-4.5 all [installed]
gstreamer1.0-plugins-base/jammy,now 1.20.1-1 armhf [installed]
gtk-update-icon-cache/jammy,now 3.24.33-1ubuntu1 armhf [installed]
gyp/jammy,now 0.1+20210831gitd6c5dd5-5 all [installed]
gzip/jammy,now 1.10-4ubuntu4 armhf [installed]
happy/jammy,now 1.19.12-2build1.1 armhf [installed]
haveged/jammy,now 1.9.14-1ubuntu1 armhf [installed]
help2man/jammy,now 1.49.1 armhf [installed]
hicolor-icon-theme/jammy,now 0.17-2 all [installed]
hostname/jammy,now 3.23ubuntu2 armhf [installed]
hscolour/jammy,now 1.24.4-3build4.1 armhf [installed]
htop/jammy,now 3.0.5-7build2 armhf [installed]
humanity-icon-theme/jammy,now 0.6.16 all [installed]
i2c-tools/jammy,now 4.3-2build1 armhf [installed]
ibverbs-providers/jammy,now 39.0-1 armhf [installed]
icu-devtools/jammy,now 70.1-2 armhf [installed]
ifupdown/jammy,now 0.8.36+nmu1ubuntu3 armhf [installed]
info/jammy,now 6.8-4build1 armhf [installed]
init-system-helpers/jammy,now 1.62 all [installed]
init/jammy,now 1.62 armhf [installed]
install-info/jammy,now 6.8-4build1 armhf [installed]
intltool-debian/jammy,now 0.35.0+20060710.5 all [installed]
iproute2/jammy,now 5.15.0-1ubuntu2 armhf [installed]
iputils-ping/jammy,now 3:20211215-1 armhf [installed]
isc-dhcp-client/jammy,now 4.4.1-2.3ubuntu2 armhf [installed]
isc-dhcp-common/jammy,now 4.4.1-2.3ubuntu2 armhf [installed]
isc-dhcp-server/jammy,now 4.4.1-2.3ubuntu2 armhf [installed]
iso-codes/jammy,now 4.9.0-1 all [installed]
iw/jammy,now 5.16-1build1 armhf [installed]
java-common/jammy,now 0.72build2 all [installed]
javascript-common/jammy,now 11+nmu1 all [installed]
kbd/jammy,now 2.3.0-3ubuntu4 armhf [installed]
keyboard-configuration/jammy,now 1.205ubuntu3 all [installed]
kmod/jammy,now 29-1ubuntu1 armhf [installed]
krb5-locales/jammy,now 1.19.2-2 all [installed]
language-pack-en-base/jammy,now 1:22.04+20220415 all [installed]
language-pack-en/jammy,now 1:22.04+20220415 all [installed]
less/jammy,now 590-1build1 armhf [installed]
libaacs0/jammy,now 0.11.1-1 armhf [installed]
libacl1/jammy,now 2.3.1-1 armhf [installed]
libaec0/jammy,now 1.0.6-1 armhf [installed]
libaio1/jammy,now 0.3.112-13build1 armhf [installed]
libalgorithm-c3-perl/jammy,now 0.11-1 all [installed]
libalgorithm-diff-perl/jammy,now 1.201-1 all [installed]
libalgorithm-diff-xs-perl/jammy,now 0.04-6build3 armhf [installed]
libalgorithm-merge-perl/jammy,now 0.08-3 all [installed]
libany-uri-escape-perl/jammy,now 0.01-3 all [installed]
libaom3/jammy,now 3.3.0-1 armhf [installed]
libapparmor1/jammy,now 3.0.4-2ubuntu2 armhf [installed]
libappstream4/jammy,now 0.15.2-2 armhf [installed]
libapt-pkg6.0/jammy,now 2.4.5 armhf [installed]
libarchive-cpio-perl/jammy,now 0.10-1.1 all [installed]
libarchive-extract-perl/jammy,now 0.88-1 all [installed]
libarchive-zip-perl/jammy,now 1.68-1 all [installed]
libarchive13/jammy,now 3.6.0-1ubuntu1 armhf [installed]
libargon2-1/jammy,now 0~20171227-0.3 armhf [installed]
libarmadillo10/jammy,now 1:10.8.2+dfsg-1 armhf [installed]
libarpack2/jammy,now 3.8.0-1 armhf [installed]
libasan5/jammy,now 9.4.0-5ubuntu1 armhf [installed]
libasan6/jammy,now 11.2.0-19ubuntu1 armhf [installed]
libasn1-8-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libasound2-data/jammy,now 1.2.6.1-1ubuntu1 all [installed]
libasound2-dev/jammy,now 1.2.6.1-1ubuntu1 armhf [installed]
libasound2/jammy,now 1.2.6.1-1ubuntu1 armhf [installed]
libasprintf-dev/jammy,now 0.21-4ubuntu4 armhf [installed]
libasprintf0v5/jammy,now 0.21-4ubuntu4 armhf [installed]
libassuan0/jammy,now 2.5.5-1build1 armhf [installed]
libast2/jammy,now 0.7-9 armhf [installed]
libasyncns0/jammy,now 0.8-6build2 armhf [installed]
libatk-bridge2.0-0/jammy,now 2.38.0-3 armhf [installed]
libatk-wrapper-java-jni/jammy,now 0.38.0-5build1 armhf [installed]
libatk-wrapper-java/jammy,now 0.38.0-5build1 all [installed]
libatk1.0-0/jammy,now 2.36.0-3build1 armhf [installed]
libatk1.0-data/jammy,now 2.36.0-3build1 all [installed]
libatk1.0-dev/jammy,now 2.36.0-3build1 armhf [installed]
libatlas-base-dev/jammy,now 3.10.3-12ubuntu1 armhf [installed]
libatlas3-base/jammy,now 3.10.3-12ubuntu1 armhf [installed]
libatm1/jammy,now 1:2.5.1-4build2 armhf [installed]
libatomic1/jammy,now 12-20220319-1ubuntu1 armhf [installed]
libatspi2.0-0/jammy,now 2.44.0-3 armhf [installed]
libattr1/jammy,now 1:2.5.1-1build1 armhf [installed]
libaudit-common/jammy,now 1:3.0.7-1build1 all [installed]
libaudit1/jammy,now 1:3.0.7-1build1 armhf [installed]
libauthen-sasl-perl/jammy,now 2.1600-1.1 all [installed]
libavahi-client3/jammy,now 0.8-5ubuntu5 armhf [installed]
libavahi-common-data/jammy,now 0.8-5ubuntu5 armhf [installed]
libavahi-common3/jammy,now 0.8-5ubuntu5 armhf [installed]
libavcodec-dev/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libavcodec58/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libavformat-dev/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libavformat58/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libavutil-dev/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libavutil56/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libb-hooks-endofscope-perl/jammy,now 0.25-1 all [installed]
libb-hooks-op-check-perl/jammy,now 0.22-1build5 armhf [installed]
libbabeltrace1/jammy,now 1.5.8-2build1 armhf [installed]
libbareword-filehandles-perl/jammy,now 0.007-1build3 armhf [installed]
libbdplus0/jammy,now 0.2.0-1 armhf [installed]
libbinutils/jammy,now 2.38-3ubuntu1 armhf [installed]
libbison-dev/jammy,now 2:3.8.2+dfsg-1build1 armhf [installed]
libblas-dev/jammy,now 3.10.0-2ubuntu1 armhf [installed]
libblas3/jammy,now 3.10.0-2ubuntu1 armhf [installed]
libblkid-dev/jammy,now 2.37.2-4ubuntu3 armhf [installed]
libblkid1/jammy,now 2.37.2-4ubuntu3 armhf [installed]
libblosc1/jammy,now 1.21.1+ds2-2 armhf [installed]
libbluray2/jammy,now 1:1.3.1-1 armhf [installed]
libboost-all-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-atomic-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-atomic1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-atomic1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-chrono-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-chrono1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-chrono1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-container-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-container1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-container1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-context-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-context1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-context1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-coroutine-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
